emp_no;posisi_id
12-0858;20003
93-0858;19981
96-0027;20008
95-0739;20008
93-0585;20008
15-0878;20008
17-0588;20008
94-0096;20008
95-0309;20008
11-0443;20008
14-0071;20008
94-0573;19984
14-0069;20012
00-0146;20012
04-0161;20012
15-0880;20012
94-0060;20012
16-0373;20012
95-0848;20012
14-0067;20012
90-0550;20012
95-1154;20012
90-0353;19989
16-1422;20016
93-0193;20016
04-0070;20016
16-0195;20016
02-0193;20016
04-0068;20016
08-0270;20016
12-0661;20016
10-0357;20016
11-0656;20016
00-0664;20016
13-0696;20016
10-0470;20016
02-0128;20016
08-0258;20016
08-0260;20016
00-0309;20016
03-0095;20016
11-0521;20016
11-0670;20016
00-0186;19992
10-0019;20018
12-0660;20018
99-0404;20018
10-0865;20018
10-0354;20018
08-0254;20018
16-0352;20018
99-0212;20018
99-0217;20018
00-0538;20018
05-0041;20018
16-0382;20018
16-1401;20018
10-0870;20018
10-0013;20018
11-0427;20018
10-0468;20018
99-0428;19995
15-0747;20020
08-0266;20020
95-1086;20020
08-0255;20020
15-0746;20020
04-0148;20020
16-0192;20020
11-0699;20020
00-0521;20020
07-0259;20020
97-0257;20020
04-0045;19998
12-0651;20022
10-0433;20022
11-0337;20022
95-0708;20022
94-0630;20022
99-0176;20022
11-0369;20022
11-0329;20022
94-0076;20022
16-1402;20022
99-0214;20022
10-0480;20022
16-1405;20022
12-0847;20022
11-0687;20022
10-0666;20001
95-0998;19852
95-0222;20029
12-0845;20060
10-0358;20060
11-0689;20060
11-0391;20060
10-0848;20060
14-0155;20060
10-0477;20060
95-0208;20060
00-0250;20060
16-1428;20060
11-0517;20060
02-0189;20060
03-0044;20060
13-0689;20060
94-0059;20037
93-0673;20065
95-0470;20065
08-0267;20065
94-0577;20065
97-0336;20065
93-0672;20065
12-0854;20065
14-0310;20065
16-0379;20065
93-0849;20040
95-0962;20070
15-0881;20070
14-0074;20070
16-0410;20070
11-0422;20070
10-0862;20070
08-0235;20070
10-0553;20070
93-0671;20070
95-0419;20043
10-0016;20075
14-0073;20075
97-0365;20075
07-0249;20075
08-0262;20075
08-0241;20075
17-0589;20075
04-0108;20075
11-0694;20075
11-0411;20075
11-0657;20075
95-1100;20075
00-0185;20075
13-0722;20075
07-0255;20075
00-0243;20075
15-0744;20075
16-1404;20075
10-0004;20075
16-0197;20075
00-0661;20075
00-0249;20075
94-0364;20046
95-0364;20079
00-0666;20079
11-0730;20079
16-0387;20079
90-0487;20079
11-0664;20079
08-0249;20079
89-0641;20079
11-0711;20079
97-0260;20079
11-0659;20079
08-0230;20079
10-0435;20079
12-1119;20079
16-0200;20079
10-0483;20079
16-0389;20079
02-0087;20048
17-0587;20083
16-1421;20083
16-0199;20083
95-0710;20083
93-0311;20083
10-0472;20083
10-0555;20083
10-0012;20083
07-0236;20083
99-0126;20083
97-0270;20083
93-0540;20052
11-0530;20085
11-0695;20085
07-0246;20085
08-0247;20085
11-0728;20085
10-0001;20085
11-0698;20085
16-0198;20085
11-0364;20085
03-0087;20085
10-0359;20085
97-0271;20085
16-1420;20085
04-0105;20085
00-0536;20085
00-0244;20056
04-0270;19650
08-0269;20099
93-0842;20108
02-0083;20132
11-0702;20132
12-1120;20132
11-0396;20132
07-0247;20132
16-0276;20132
11-0347;20132
15-1032;20132
11-0401;20132
05-0036;20132
93-0665;20132
99-0082;20132
11-0673;20132
04-0150;20132
11-0326;20132
93-0846;20132
11-0332;20132
11-0654;20132
12-1125;20132
11-0402;20132
96-0619;20110
89-0395;20134
16-0134;20134
01-0028;20134
12-0655;20134
11-0674;20134
13-0688;20134
13-0699;20134
10-0022;20134
11-0388;20134
10-0009;20134
11-0707;20134
16-0135;20134
13-0687;20134
13-0088;20134
00-0154;20134
13-0695;20134
12-1128;20134
12-0654;20134
11-0683;20134
05-0053;20134
11-0200;20134
88-0027;20112
95-0462;20136
16-0384;20136
16-0506;20136
03-0041;20136
11-0409;20136
13-0765;20136
16-0505;20136
11-0661;20136
13-0691;20136
14-0306;20136
11-0677;20136
10-0592;20136
13-0685;20136
11-0473;20136
94-0421;20136
08-0244;20136
14-0313;20136
12-0856;20136
13-0694;20136
11-0652;20136
16-0354;20136
95-0304;20102
12-0851;20114
04-0147;20138
04-0106;20138
16-0140;20138
07-0252;20138
16-1406;20138
03-0084;20138
11-0366;20138
13-0698;20138
12-0855;20138
02-0261;20138
95-0096;20138
11-0338;20138
11-0691;20138
11-0716;20138
13-0703;20138
10-0866;20138
11-0398;20138
11-0493;20138
11-0381;20138
11-0385;20138
11-0697;20138
11-0341;20138
11-0395;20138
11-0348;20138
-;20116
16-0504;20140
13-0702;20140
16-1427;20140
10-0545;20140
12-1129;20140
16-1407;20140
12-1114;20140
11-0555;20140
16-0370;20140
13-0095;20140
13-0706;20140
99-0090;20140
16-0353;20140
10-0558;20140
99-0218;20140
03-0045;20140
11-0704;20140
16-0139;20140
11-0666;20140
12-1115;20140
-;20118
95-0849;20142
16-1416;20142
12-0656;20142
11-0354;20142
11-0399;20142
12-0650;20142
08-0231;20142
10-0864;20142
13-0700;20142
02-0126;20142
13-0918;20142
13-0924;20142
00-0663;20142
13-0704;20142
11-0520;20142
12-0863;20142
97-0384;20142
99-0183;20142
13-0711;20142
13-0920;20142
11-0345;20142
94-0087;20104
02-0191;20120
11-0524;20144
11-0371;20144
11-0727;20144
10-0350;20144
11-0682;20144
11-0663;20144
07-0244;20144
11-0383;20144
11-0362;20144
12-1131;20144
16-0191;20144
