posisi_id;kode_posisi;nama_posisi;parent;Direktorat_id;Division_id;Departemen_id;people_id;Jobtitle_code;Parent_path
19089;8017993;WORKER DBL;19085;50124;30124;10136;;GT_WRKR;
19090;8017994;STAFF BLADDER SETTING;19069;50124;30124;10136;;GT_STFF;
19091;8017995;SECTION HEAD REPAIR TIRE & DBT;19016;50124;30124;10136;;GT_SPV;
19092;8017996;TEAM LEADER REPAIR TIRE & DBT;19091;50124;30124;10136;;GT_STFF;
19094;8017998;WORKER REPAIR TIRE;19092;50124;30124;10136;;GT_WRKR;
19095;8017999;TEAM LEADER REPAIR TIRE & DBT;19091;50124;30124;10136;;GT_STFF;
19097;8018001;WORKER DBT;19092;50124;30124;10136;;GT_WRKR;
19102;8018092;TEAM LEADER BLEND & SUPPLY;18871;50124;30124;10134;;GT_STFF;
19103;8018093;TEAM LEADER BLEND & SUPPLY;18871;50124;30124;10134;;GT_STFF;
19105;8018094;TEAM LEADER BLEND & SUPPLY;18871;50124;30124;10134;;GT_STFF;
19106;8018003;WORKER REPAIR TIRE;19095;50124;30124;10136;;GT_WRKR;
19108;8018095;TEAM LEADER BLEND & SUPPLY;18871;50124;30124;10134;;GT_STFF;
19109;8018005;WORKER DBT;19095;50124;30124;10136;;GT_WRKR;
19111;8018097;OPERATOR BLEND & SUPPLY;19102;50124;30124;10134;;GT_WRKR;
19113;8018099;OPERATOR BLEND & SUPPLY;19103;50124;30124;10134;;GT_WRKR;
19115;8018101;OPERATOR BLEND & SUPPLY;19105;50124;30124;10134;;GT_WRKR;
19117;8018103;OPERATOR BLEND & SUPPLY;19108;50124;30124;10134;;GT_WRKR;
19122;8018006;TEAM LEADER REPAIR TIRE & DBT;19091;50124;30124;10136;;GT_STFF;
19124;8018008;WORKER REPAIR TIRE;19122;50124;30124;10136;;GT_WRKR;
19126;8018010;WORKER DBT;19122;50124;30124;10136;;GT_WRKR;
19127;8018011;TEAM LEADER REPAIR TIRE & DBT;19091;50124;30124;10136;;GT_STFF;
19128;8018107;STAFF PROFILO PLANT K;18871;50124;30124;10134;;GT_STFF;
19130;8018013;WORKER REPAIR TIRE;19127;50124;30124;10136;;GT_WRKR;
19132;8018108;STAFF PROFILO PLANT K;18871;50124;30124;10134;;GT_STFF;
19133;8018015;WORKER DBT;19127;50124;30124;10136;;GT_WRKR;
19134;8018109;STAFF PROFILO PLANT K;18871;50124;30124;10134;;GT_STFF;
19135;8018110;STAFF PROFILO PLANT K;18871;50124;30124;10134;;GT_STFF;
19137;8018112;SUB DEPT. HEAD PROCESS SIDEWALL PLANT DK & PRE ASSEMBLY PLANT D;18771;50124;30124;10134;;GT_JMGR;
19138;8018016;STAFF REPAIR TIRE & DBT;19091;50124;30124;10136;;GT_STFF;
19140;8018114;SECTION HEAD PRODUCTION SIDEWALL PLANT D & SLITTING WHITE SIDEWALL;19137;50124;30124;10134;;GT_SPV;
19141;8018017;ADMINISTRATION;19016;50124;30124;10136;;GT_STFF;
